,"CleanRL PPO (Sync), 1 A100, 10 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU","Cleanba PPO, 8 A100, 46 CPU","Cleanba IMPALA (Sync), 8 A100, 46 CPU","Cleanba IMPALA, 8 A100, 46 CPU"
Alien-v5,3231.13 ± 431.45,2777.97 ± 400.77,2014.91 ± 363.14,4992.20 ± 1031.13,4957.92 ± 1861.01
Amidar-v5,452.06 ± 180.03,355.97 ± 95.31,500.02 ± 197.48,705.82 ± 98.42,577.11 ± 123.66
Assault-v5,4958.20 ± 102.99,3751.48 ± 92.12,3597.16 ± 136.97,4582.05 ± 128.91,4652.42 ± 524.88
Asterix-v5,102325.71 ± 49423.57,54710.20 ± 12978.79,93549.26 ± 31273.53,495385.75 ± 56527.18,415085.79 ± 128839.18
Asteroids-v5,7365.51 ± 769.07,5265.86 ± 111.83,4519.91 ± 272.25,7362.86 ± 163.98,7447.75 ± 663.09
Atlantis-v5,878848.24 ± 23138.19,919879.19 ± 11134.33,904820.47 ± 34718.99,865624.42 ± 3412.24,860085.65 ± 12860.21
BankHeist-v5,1165.09 ± 9.32,1155.14 ± 18.55,1133.07 ± 0.69,1170.98 ± 1.38,1175.46 ± 7.06
BattleZone-v5,42859.94 ± 3663.26,43808.75 ± 3977.81,38220.73 ± 323.17,28311.46 ± 3532.31,25633.12 ± 2269.21
BeamRider-v5,8310.84 ± 603.91,7540.49 ± 377.93,8544.53 ± 377.20,8690.36 ± 533.04,8744.03 ± 703.63
Berzerk-v5,1200.45 ± 404.37,1095.12 ± 335.67,771.63 ± 106.94,625.48 ± 55.99,604.02 ± 76.73
Bowling-v5,33.45 ± 4.61,31.20 ± 1.19,46.39 ± 11.68,40.35 ± 0.54,40.25 ± 0.90
Boxing-v5,99.59 ± 0.09,99.43 ± 0.13,99.33 ± 0.13,99.28 ± 0.05,99.29 ± 0.05
Breakout-v5,459.65 ± 9.64,438.75 ± 6.40,411.29 ± 9.92,483.30 ± 11.67,480.98 ± 3.02
Centipede-v5,3364.61 ± 189.48,3280.65 ± 190.81,1828.55 ± 148.59,4430.08 ± 228.99,4823.42 ± 165.35
ChopperCommand-v5,19784.26 ± 2951.92,13621.98 ± 1210.25,9760.73 ± 2167.45,17055.66 ± 838.16,16592.78 ± 775.79
CrazyClimber-v5,112766.12 ± 1158.77,109208.65 ± 1285.82,107601.25 ± 1570.39,119471.46 ± 4965.98,118073.43 ± 2182.25
Defender-v5,62346.80 ± 970.36,60213.43 ± 612.05,55504.50 ± 5633.09,64606.02 ± 2160.76,66361.47 ± 459.11
DemonAttack-v5,115596.15 ± 4160.37,83640.45 ± 11566.14,69988.24 ± 9274.70,124215.51 ± 7118.76,130043.66 ± 1541.83
DoubleDunk-v5,-0.86 ± 0.51,4.43 ± 9.90,0.26 ± 0.57,-0.02 ± 0.45,0.24 ± 0.12
Enduro-v5,2306.16 ± 17.13,2129.09 ± 134.81,1595.34 ± 200.75,2335.38 ± 7.73,2331.67 ± 17.23
FishingDerby-v5,45.26 ± 7.45,35.31 ± 2.31,27.74 ± 1.47,36.22 ± 2.55,36.07 ± 3.84
Freeway-v5,33.71 ± 0.07,32.27 ± 0.48,32.78 ± 0.17,0.00 ± 0.00,0.00 ± 0.00
Frostbite-v5,1148.68 ± 1170.58,4790.37 ± 2339.45,297.51 ± 23.70,317.36 ± 20.19,299.74 ± 22.08
Gopher-v5,12524.64 ± 2231.36,7804.75 ± 4865.60,3917.97 ± 427.99,20003.40 ± 2686.49,26524.89 ± 4726.06
Gravitar-v5,2443.05 ± 55.47,1880.52 ± 612.28,1561.59 ± 379.63,2397.59 ± 30.95,2424.49 ± 53.41
Hero-v5,27602.49 ± 5433.56,29861.32 ± 3086.52,17962.97 ± 2521.26,36541.70 ± 253.51,34805.18 ± 743.28
IceHockey-v5,10.57 ± 0.92,8.04 ± 0.83,8.52 ± 1.07,4.15 ± 0.67,3.65 ± 0.41
Jamesbond-v5,623.97 ± 39.71,602.38 ± 44.96,642.80 ± 146.81,553.74 ± 11.78,571.61 ± 5.86
Kangaroo-v5,1786.99 ± 1.62,9168.77 ± 5223.70,2449.18 ± 945.74,1749.69 ± 19.37,1720.90 ± 2.70
Krull-v5,8753.21 ± 52.34,8532.77 ± 9.72,8037.42 ± 102.72,7187.46 ± 252.99,7843.66 ± 265.69
KungFuMaster-v5,31582.04 ± 1263.37,31599.44 ± 1229.30,23887.20 ± 4815.35,29454.98 ± 652.73,30053.73 ± 4350.55
MontezumaRevenge-v5,0.38 ± 0.18,0.31 ± 0.10,0.04 ± 0.03,0.22 ± 0.16,0.04 ± 0.06
MsPacman-v5,3705.78 ± 410.62,3812.68 ± 117.07,2274.62 ± 631.03,4779.95 ± 326.02,5211.03 ± 336.95
NameThisGame-v5,12510.74 ± 598.76,12714.65 ± 565.05,8986.66 ± 1083.86,13373.34 ± 404.37,16215.98 ± 1505.06
Phoenix-v5,50675.18 ± 9886.93,37434.69 ± 6158.25,28286.64 ± 3542.27,44126.56 ± 5629.66,39117.81 ± 3081.03
Pitfall-v5,-1.19 ± 1.39,-4.16 ± 5.41,-0.30 ± 0.08,-3.22 ± 0.77,-2.31 ± 0.06
Pong-v5,18.94 ± 0.61,18.26 ± 0.57,18.72 ± 0.57,19.35 ± 0.82,19.13 ± 0.41
PrivateEye-v5,94.86 ± 5.79,78.41 ± 27.05,66.23 ± 47.45,94.67 ± 2.44,119.91 ± 28.15
Qbert-v5,17550.22 ± 1305.65,17491.43 ± 1585.57,14776.55 ± 272.82,17744.42 ± 2655.08,20182.24 ± 1415.62
Riverraid-v5,6938.90 ± 2609.83,9625.52 ± 1314.51,12349.38 ± 3692.31,9970.77 ± 9036.52,19726.22 ± 4118.38
RoadRunner-v5,130223.67 ± 54480.63,69799.92 ± 19725.09,49055.45 ± 3771.37,73749.14 ± 18751.41,57527.74 ± 7946.48
