,"Monobeast IMPALA, 1 A100, 10 CPU","Moolib IMPALA, 1 A100, 10 CPU","Cleanba IMPALA, 1 A100, 10 CPU","Cleanba PPO (Sync), 1 A100, 10 CPU"
Alien-v5,3826.03 ± 91.37,3981.41 ± 626.06,5592.46 ± 2052.31,2696.91 ± 471.97
Amidar-v5,448.95 ± 16.77,346.22 ± 234.22,639.12 ± 123.85,280.74 ± 138.42
Assault-v5,4351.95 ± 85.56,2771.80 ± 1329.77,4049.25 ± 137.25,4187.41 ± 133.88
Asterix-v5,536214.00 ± 0.00,207949.20 ± 120166.80,400369.43 ± 155442.17,52750.04 ± 15489.89
Asteroids-v5,10529.13 ± 312.67,28294.30 ± 30629.30,7596.21 ± 382.62,5930.11 ± 1244.69
Atlantis-v5,840499.67 ± 157.92,1018643.50 ± 10183.09,807120.02 ± 79999.28,859706.03 ± 32119.26
BankHeist-v5,1161.07 ± 8.65,1178.71 ± 30.54,1162.23 ± 2.55,1156.34 ± 17.47
BattleZone-v5,30266.11 ± 369.27,26597.38 ± 17064.00,30306.72 ± 3719.78,38075.10 ± 2532.26
BeamRider-v5,7768.21 ± 134.18,11583.43 ± 1567.09,7760.15 ± 529.61,7289.07 ± 233.90
Berzerk-v5,562.49 ± 4.72,847.60 ± 130.08,567.97 ± 6.61,745.86 ± 81.71
Bowling-v5,39.75 ± 0.00,23.98 ± 0.72,39.93 ± 2.21,35.63 ± 5.21
Boxing-v5,99.05 ± 0.00,7.18 ± 1.46,99.21 ± 0.19,99.37 ± 0.09
Breakout-v5,476.05 ± 14.15,442.35 ± 49.37,482.12 ± 9.36,422.21 ± 6.83
Centipede-v5,4480.50 ± 100.86,2484.14 ± 851.74,4647.52 ± 230.49,3280.10 ± 394.13
ChopperCommand-v5,14724.00 ± 0.00,8238.38 ± 1114.50,15909.43 ± 246.72,14398.95 ± 896.81
CrazyClimber-v5,114549.56 ± 1701.35,103551.45 ± 4501.89,125838.35 ± 6487.55,108361.87 ± 2899.01
Defender-v5,119793.17 ± 1840.83,82556.79 ± 30267.04,64943.14 ± 2248.02,61647.65 ± 1361.11
DemonAttack-v5,123720.80 ± 0.00,48695.32 ± 12624.52,129376.86 ± 2627.28,91189.34 ± 4109.62
DoubleDunk-v5,-0.56 ± 0.03,-0.13 ± 0.49,-2.94 ± 2.95,4.44 ± 9.43
Enduro-v5,2339.67 ± 0.39,1498.21 ± 1033.67,2333.90 ± 9.69,2095.70 ± 98.63
FishingDerby-v5,37.06 ± 3.76,0.02 ± 47.68,36.03 ± 3.72,37.18 ± 2.91
Freeway-v5,0.00 ± 0.00,15.78 ± 11.19,0.00 ± 0.00,33.46 ± 0.06
Frostbite-v5,298.07 ± 0.00,299.71 ± 57.44,324.61 ± 19.03,1632.97 ± 1005.26
Gopher-v5,8696.62 ± 245.79,25015.00 ± 12605.82,24125.26 ± 1612.88,5388.07 ± 3130.66
Gravitar-v5,2912.50 ± 46.33,3108.14 ± 639.83,2683.89 ± 23.24,2325.63 ± 95.82
Hero-v5,28609.81 ± 54.94,5101.25 ± 3579.66,35458.10 ± 790.17,27377.99 ± 5831.56
