,"Monobeast IMPALA, 1 A100, 10 CPU","Moolib IMPALA, 1 A100, 10 CPU","Cleanba IMPALA, 1 A100, 10 CPU","Cleanba PPO (Sync), 1 A100, 10 CPU"
Alien-v5,888.1176378772113,176.35530900935936,152.5542658302655,231.3445808864523
Amidar-v5,844.4407800308758,161.56388186990756,131.2307776620857,212.59639991923615
Assault-v5,775.304650100224,142.19251122787205,114.27929670498241,190.62656506732657
Asterix-v5,748.6324790794979,145.36673704305701,113.12393053064318,192.858592443113
Asteroids-v5,825.9023173832641,148.871919732353,113.95132206257932,198.67652378245637
Atlantis-v5,908.576674364896,158.68178667535065,137.85280897365067,213.92252579132716
BankHeist-v5,981.6259007092199,151.71607595671688,126.06064489549041,201.6255477810789
BattleZone-v5,973.6767756198249,168.07326160916574,138.2399226350594,218.72569344577965
BeamRider-v5,974.3765694549423,162.0839072581565,136.26276934783343,212.85576241109104
Berzerk-v5,947.8047476600143,150.7977013910493,123.93982748769288,198.80002307701992
Bowling-v5,939.6045282708743,145.8330534833611,114.42112950211576,191.44758996018658
Boxing-v5,1016.3104943860919,190.4365786339289,170.41449929928848,238.42803476218825
Breakout-v5,961.7533670767542,162.98910544744504,136.97438498365912,215.36394512706332
Centipede-v5,945.7148645766689,155.55369060590505,124.85343990117397,209.316834017524
ChopperCommand-v5,969.9060645099723,167.2454804724171,142.03482203963136,219.37474347913707
CrazyClimber-v5,929.2049619515483,144.03068976423862,115.47294446956738,195.7044162140952
Defender-v5,922.0518679549115,144.1951796170403,118.51862596981206,193.48550800491265
DemonAttack-v5,765.5269107643056,143.6093618060483,119.87119013560124,195.61287612416126
DoubleDunk-v5,884.9565693430657,159.64937176329119,137.62260322208758,221.10684945574513
Enduro-v5,991.8193952802361,179.29912585973736,154.80635476104894,229.97081898963012
FishingDerby-v5,1021.2030032239978,209.6265393976727,172.4439318563388,254.25071667613804
Freeway-v5,1030.3991521431935,199.16664369687058,169.72550466069467,256.21195633640997
Frostbite-v5,983.4526587931136,168.40577990503542,142.3627008589109,221.3671443592619
Gopher-v5,892.0716464463948,146.80924264416458,116.84542812332468,195.57613577326137
Gravitar-v5,789.101716539086,149.37218282232004,125.1802425032803,202.5971545616344
Hero-v5,962.0596579833422,186.1202524317975,164.68531735427018,243.2866758535968
IceHockey-v5,990.8068471720819,171.07242304507196,143.23438677677063,225.63872038099498
Jamesbond-v5,954.3602182196051,152.06275053458603,127.14132471890191,206.08235069213092
Kangaroo-v5,967.805707414088,165.26772999657396,141.28035235743238,220.76550037794644
Krull-v5,991.135781420765,176.54640096092467,148.53172837361313,234.8651088091179
KungFuMaster-v5,993.9106684084476,171.41629780663385,149.60937395223525,227.50362688227935
MontezumaRevenge-v5,977.5661329741547,164.73465702672607,137.69103674056524,219.25243955749053
MsPacman-v5,982.6953614144566,159.1626175654398,133.609846063421,211.42615528835188
NameThisGame-v5,931.8348072562359,163.08728218093546,134.9175549362324,213.23191745594696
Phoenix-v5,884.0757533286614,147.77773254811044,119.61583770036019,196.47217860213033
Pitfall-v5,984.0837433155082,169.50358125116966,143.51894642440004,224.99105450934834
Pong-v5,927.2978780197412,152.71303363270926,128.25495813629226,204.69346202007048
PrivateEye-v5,1002.3779883674288,175.89401397440167,146.32401730776172,227.17573062985034
Qbert-v5,970.0716134085213,159.97752011660072,135.9623816317371,214.76238913244669
Riverraid-v5,906.4054299806343,169.8369695233599,145.01631610385374,231.77232761321244
RoadRunner-v5,843.6858584754409,171.2529737764368,148.76906219008302,228.93003600981498
Robotank-v5,922.4272266666668,184.12346360347698,161.61042481385064,237.55779538353283
Seaquest-v5,968.7507171117707,157.47467387806532,129.22026218416343,209.80810897588728
Skiing-v5,977.0844152396122,163.5215714180428,135.3231958466174,218.95652649367295
Solaris-v5,986.5506924019608,180.28217933886762,157.04579739264952,238.96711436408538
SpaceInvaders-v5,809.414168595679,154.29483556178985,116.60036940664308,198.72798801263173
StarGunner-v5,884.5919514884234,140.09978290833908,114.70880318014709,192.7677848066224
Surround-v5,925.0597199856861,146.0316868994699,116.23008205280547,198.19373425360078
Tennis-v5,859.2051131928181,168.4057837772069,147.82372679520876,222.46751890866844
TimePilot-v5,920.764924554184,149.954171245177,124.2857006722366,198.28002185644925
Tutankham-v5,947.2229058721935,153.62541934724345,124.39459780130632,205.04689260328257
UpNDown-v5,985.542642219088,213.98730514833804,192.22968645061863,272.1986878500603
Venture-v5,972.8163538538538,155.88439384886627,129.4046844984867,205.83439815936265
VideoPinball-v5,946.9542650918636,198.16859899848484,157.84398168387915,242.39699339924036
WizardOfWor-v5,963.4462040766508,153.9659895184967,127.87884608926257,204.70566917083883
YarsRevenge-v5,877.6596783931267,151.36975184113658,122.00640536800748,204.65818145893238
Zaxxon-v5,871.8782805848602,158.56544384915554,127.73043551220172,214.18027643097773
