,"Cleanba IMPALA, 1 A100, 10 CPU","Cleanba PPO (Fair), 1 A100, 10 CPU"
Alien-v5,5592.46 ± 2052.31,1631.02 ± 97.96
Amidar-v5,639.12 ± 123.85,115.58 ± 20.47
Assault-v5,4049.25 ± 137.25,982.28 ± 39.98
Asterix-v5,400369.43 ± 155442.17,3707.14 ± 132.02
Asteroids-v5,7596.21 ± 382.62,2253.09 ± 168.05
Atlantis-v5,807120.02 ± 79999.28,999466.18 ± 15657.81
BankHeist-v5,1162.23 ± 2.55,1130.96 ± 2.01
BattleZone-v5,30306.72 ± 3719.78,28845.42 ± 939.86
BeamRider-v5,7760.15 ± 529.61,2365.88 ± 687.59
Berzerk-v5,567.97 ± 6.61,533.22 ± 80.10
Bowling-v5,39.93 ± 2.21,29.21 ± 0.24
Boxing-v5,99.21 ± 0.19,99.25 ± 0.14
Breakout-v5,482.12 ± 9.36,226.76 ± 154.24
Centipede-v5,4647.52 ± 230.49,1787.87 ± 100.03
ChopperCommand-v5,15909.43 ± 246.72,3872.66 ± 425.24
CrazyClimber-v5,125838.35 ± 6487.55,106670.01 ± 523.70
Defender-v5,64943.14 ± 2248.02,49411.22 ± 5770.49
DemonAttack-v5,129376.86 ± 2627.28,18541.27 ± 3453.31
DoubleDunk-v5,-2.94 ± 2.95,-10.68 ± 0.31
Enduro-v5,2333.90 ± 9.69,2313.38 ± 12.89
FishingDerby-v5,36.03 ± 3.72,-14.44 ± 48.55
Freeway-v5,0.00 ± 0.00,21.62 ± 0.09
Frostbite-v5,324.61 ± 19.03,2112.26 ± 2558.41
Gopher-v5,24125.26 ± 1612.88,1053.00 ± 47.47
Gravitar-v5,2683.89 ± 23.24,235.76 ± 8.64
Kangaroo-v5,2720.48 ± 745.69,1718.46 ± 43.78
Krull-v5,8446.10 ± 1162.66,9358.43 ± 551.84
KungFuMaster-v5,32189.33 ± 993.59,35243.70 ± 1845.24
MontezumaRevenge-v5,0.12 ± 0.05,0.00 ± 0.00
NameThisGame-v5,15197.89 ± 981.65,3951.07 ± 1694.72
Phoenix-v5,43733.67 ± 3990.05,18448.36 ± 1342.46
Pitfall-v5,-3.41 ± 1.12,-1.44 ± 1.96
Pong-v5,19.09 ± 0.34,10.35 ± 2.51
PrivateEye-v5,97.63 ± 0.83,16.09 ± 22.76
Qbert-v5,22198.59 ± 727.63,12391.43 ± 1354.71
Riverraid-v5,17869.65 ± 3940.39,5030.41 ± 1431.08
RoadRunner-v5,52644.88 ± 5239.61,27447.41 ± 4968.06
Robotank-v5,39.71 ± 3.65,6.90 ± 1.71
Seaquest-v5,2029.83 ± 370.30,1801.36 ± 19.22
Skiing-v5,-12224.36 ± 2187.07,-29998.00 ± 0.00
Solaris-v5,2428.10 ± 68.32,2040.57 ± 43.21
SpaceInvaders-v5,28766.28 ± 1052.09,875.89 ± 240.50
StarGunner-v5,156830.72 ± 4798.11,42606.36 ± 2966.64
Surround-v5,5.30 ± 0.18,-2.66 ± 2.43
Tennis-v5,22.82 ± 0.08,-7.19 ± 5.68
TimePilot-v5,18043.59 ± 2101.02,11906.85 ± 1461.47
Tutankham-v5,263.22 ± 2.73,175.72 ± 49.36
UpNDown-v5,222275.46 ± 5648.89,143247.04 ± 24669.65
Venture-v5,0.00 ± 0.00,0.00 ± 0.00
VideoPinball-v5,491802.85 ± 15620.52,197989.37 ± 75640.37
WizardOfWor-v5,9750.21 ± 628.39,3135.53 ± 363.25
YarsRevenge-v5,90594.22 ± 1027.05,24253.05 ± 21754.66
Zaxxon-v5,23436.26 ± 596.83,0.89 ± 0.67
