,"Cleanba IMPALA, 1 A100, 10 CPU","Cleanba PPO (Fair), 1 A100, 10 CPU"
Alien-v5,152.5542658302655,156.09412282479116
Amidar-v5,131.2307776620857,137.22235921416868
Assault-v5,114.27929670498241,114.00938934841048
Asterix-v5,113.12393053064318,119.1584854187449
Asteroids-v5,113.95132206257932,123.74657897248906
Atlantis-v5,137.85280897365067,133.5484574061785
BankHeist-v5,126.06064489549041,126.52629270037355
BattleZone-v5,138.2399226350594,138.62614443194153
BeamRider-v5,136.26276934783343,136.58882652211392
Berzerk-v5,123.93982748769288,125.65026556490493
Bowling-v5,114.42112950211576,115.0112276527345
Boxing-v5,170.41449929928848,167.63074242949827
Breakout-v5,136.97438498365912,142.20998097955672
Centipede-v5,124.85343990117397,125.86748693112294
ChopperCommand-v5,142.03482203963136,143.62834855972193
CrazyClimber-v5,115.47294446956738,115.59540360754372
Defender-v5,118.51862596981206,118.61747445772856
DemonAttack-v5,119.87119013560124,119.78924891798584
DoubleDunk-v5,137.62260322208758,140.47937311897252
Enduro-v5,154.80635476104894,155.8793503373165
FishingDerby-v5,172.4439318563388,180.29956371231296
Freeway-v5,169.72550466069467,160.47043330949936
Frostbite-v5,142.3627008589109,137.2442245404469
Gopher-v5,116.84542812332468,120.36093972589217
Gravitar-v5,125.1802425032803,125.70182552366855
Kangaroo-v5,141.28035235743238,141.36156774254607
Krull-v5,148.53172837361313,148.81014026211878
KungFuMaster-v5,149.60937395223525,143.0931346396028
MontezumaRevenge-v5,137.69103674056524,136.3990510806263
NameThisGame-v5,134.9175549362324,137.72927874995773
Phoenix-v5,119.61583770036019,115.57531357920068
Pitfall-v5,143.51894642440004,144.55270207008405
Pong-v5,128.25495813629226,125.42129000019824
PrivateEye-v5,146.32401730776172,150.20664880540636
Qbert-v5,135.9623816317371,139.02028033666122
Riverraid-v5,145.01631610385374,144.15145121285718
RoadRunner-v5,148.76906219008302,149.32831614046015
Robotank-v5,161.61042481385064,165.4394755731213
Seaquest-v5,129.22026218416343,130.04024828492405
Skiing-v5,135.3231958466174,132.98280985618248
Solaris-v5,157.04579739264952,153.8072460971259
SpaceInvaders-v5,116.60036940664308,129.54965649915215
StarGunner-v5,114.70880318014709,113.05960428960644
Surround-v5,116.23008205280547,119.46541766049177
Tennis-v5,147.82372679520876,146.14004319286076
TimePilot-v5,124.2857006722366,126.27745176712672
Tutankham-v5,124.39459780130632,125.8617689544319
UpNDown-v5,192.22968645061863,196.13874459357683
Venture-v5,129.4046844984867,129.78424332124217
VideoPinball-v5,157.84398168387915,166.28652272873794
WizardOfWor-v5,127.87884608926257,129.35483693624835
YarsRevenge-v5,122.00640536800748,124.10480427922006
Zaxxon-v5,127.73043551220172,134.96537878565638
