,"Moolib (Resnet CNN) 1 A100, 10 CPU","Moolib (Resnet CNN) 8 A100, 80 CPU","Cleanba IMPALA, 1 A100, 10 CPU","Cleanba IMPALA, 8 A100, 46 CPU","Cleanba PPO (Sync), 1 A100, 10 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU"
Assault-v5,2771.80 ± 1329.77,1014.66 ± 3.85,4049.25 ± 137.25,4652.42 ± 524.88,4187.41 ± 133.88,3751.48 ± 92.12
Asterix-v5,207949.20 ± 120166.80,72229.14 ± 40616.43,400369.43 ± 155442.17,415085.79 ± 128839.18,52750.04 ± 15489.89,54710.20 ± 12978.79
Breakout-v5,442.35 ± 49.37,300.53 ± 80.50,482.12 ± 9.36,480.98 ± 3.02,422.21 ± 6.83,438.75 ± 6.40
Boxing-v5,7.18 ± 1.46,65.89 ± 41.53,99.21 ± 0.19,99.29 ± 0.05,99.37 ± 0.09,99.43 ± 0.13
ChopperCommand-v5,8238.38 ± 1114.50,5092.66 ± 760.64,15909.43 ± 246.72,16592.78 ± 775.79,14398.95 ± 896.81,13621.98 ± 1210.25
DemonAttack-v5,48695.32 ± 12624.52,17260.47 ± 3575.22,129376.86 ± 2627.28,130043.66 ± 1541.83,91189.34 ± 4109.62,83640.45 ± 11566.14
Gravitar-v5,3108.14 ± 639.83,1072.20 ± 252.63,2683.89 ± 23.24,2424.49 ± 53.41,2325.63 ± 95.82,1880.52 ± 612.28
Kangaroo-v5,5114.30 ± 6467.15,5804.39 ± 3524.32,2720.48 ± 745.69,1720.90 ± 2.70,8818.72 ± 4987.81,9168.77 ± 5223.70
KungFuMaster-v5,54835.74 ± 26324.67,41471.46 ± 4354.58,32189.33 ± 993.59,30053.73 ± 4350.55,31860.07 ± 2750.65,31599.44 ± 1229.30
NameThisGame-v5,11208.62 ± 545.87,11534.58 ± 103.80,15197.89 ± 981.65,16215.98 ± 1505.06,12088.56 ± 842.10,12714.65 ± 565.05
TimePilot-v5,27433.14 ± 2443.59,18708.90 ± 2879.38,18043.59 ± 2101.02,18676.72 ± 2587.82,27553.52 ± 2712.78,27643.60 ± 2197.54
UpNDown-v5,285875.95 ± 26181.08,207153.66 ± 18176.48,222275.46 ± 5648.89,223842.97 ± 27032.99,246934.51 ± 14617.98,283092.78 ± 6728.41
