,"Moolib (Resnet CNN) 1 A100, 10 CPU","Moolib (Resnet CNN) 8 A100, 80 CPU","Cleanba IMPALA, 1 A100, 10 CPU","Cleanba IMPALA, 8 A100, 46 CPU","Cleanba PPO (Sync), 1 A100, 10 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU"
Alien-v5,3981.41 ± 626.06,2510.09 ± 848.76,5592.46 ± 2052.31,4957.92 ± 1861.01,1635.26 ± 1114.24,2777.97 ± 400.77
Amidar-v5,346.22 ± 234.22,293.89 ± 154.93,639.12 ± 123.85,577.11 ± 123.66,280.74 ± 138.42,355.97 ± 95.31
Assault-v5,2771.80 ± 1329.77,1014.66 ± 3.85,4049.25 ± 137.25,4652.42 ± 524.88,4187.41 ± 133.88,3751.48 ± 92.12
Asterix-v5,207949.20 ± 120166.80,72229.14 ± 40616.43,400369.43 ± 155442.17,415085.79 ± 128839.18,52750.04 ± 15489.89,54710.20 ± 12978.79
Asteroids-v5,28294.30 ± 30629.30,19746.94 ± 25106.69,7596.21 ± 382.62,7447.75 ± 663.09,5930.11 ± 1244.69,5265.86 ± 111.83
Atlantis-v5,1018643.50 ± 10183.09,1004694.69 ± 17804.67,807120.02 ± 79999.28,860085.65 ± 12860.21,859706.03 ± 32119.26,919879.19 ± 11134.33
BankHeist-v5,1178.71 ± 30.54,1130.09 ± 19.95,1162.23 ± 2.55,1175.46 ± 7.06,1156.34 ± 17.47,1155.14 ± 18.55
BattleZone-v5,26597.38 ± 17064.00,24047.24 ± 15261.70,30306.72 ± 3719.78,25633.12 ± 2269.21,38075.10 ± 2532.26,43808.75 ± 3977.81
BeamRider-v5,11583.43 ± 1567.09,8677.10 ± 1145.70,7760.15 ± 529.61,8744.03 ± 703.63,7289.07 ± 233.90,7540.49 ± 377.93
Berzerk-v5,847.60 ± 130.08,849.61 ± 255.95,567.97 ± 6.61,604.02 ± 76.73,745.86 ± 81.71,1095.12 ± 335.67
Bowling-v5,23.98 ± 0.72,47.18 ± 12.53,39.93 ± 2.21,40.25 ± 0.90,35.63 ± 5.21,31.20 ± 1.19
Boxing-v5,7.18 ± 1.46,65.89 ± 41.53,99.21 ± 0.19,99.29 ± 0.05,99.37 ± 0.09,99.43 ± 0.13
Breakout-v5,442.35 ± 49.37,300.53 ± 80.50,482.12 ± 9.36,480.98 ± 3.02,422.21 ± 6.83,438.75 ± 6.40
Centipede-v5,2484.14 ± 851.74,1629.42 ± 970.35,4647.52 ± 230.49,4823.42 ± 165.35,3280.10 ± 394.13,3280.65 ± 190.81
ChopperCommand-v5,8238.38 ± 1114.50,5092.66 ± 760.64,15909.43 ± 246.72,16592.78 ± 775.79,14398.95 ± 896.81,13621.98 ± 1210.25
CrazyClimber-v5,103551.45 ± 4501.89,103809.52 ± 10539.34,125838.35 ± 6487.55,118073.43 ± 2182.25,108361.87 ± 2899.01,109208.65 ± 1285.82
Defender-v5,82556.79 ± 30267.04,57167.54 ± 1904.26,64943.14 ± 2248.02,66361.47 ± 459.11,61647.65 ± 1361.11,60213.43 ± 612.05
DemonAttack-v5,48695.32 ± 12624.52,17260.47 ± 3575.22,129376.86 ± 2627.28,130043.66 ± 1541.83,91189.34 ± 4109.62,83640.45 ± 11566.14
DoubleDunk-v5,-0.13 ± 0.49,-2.71 ± 0.43,-2.94 ± 2.95,0.24 ± 0.12,4.44 ± 9.43,4.43 ± 9.90
Enduro-v5,1498.21 ± 1033.67,2231.42 ± 16.96,2333.90 ± 9.69,2331.67 ± 17.23,2095.70 ± 98.63,2129.09 ± 134.81
