,"Moolib (Resnet CNN) 1 A100, 10 CPU","Moolib (Resnet CNN) 8 A100, 80 CPU","Cleanba IMPALA, 1 A100, 10 CPU","Cleanba IMPALA, 8 A100, 46 CPU","Cleanba PPO (Sync), 1 A100, 10 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU"
Alien-v5,176.35530900935936,43.21044935706712,152.5542658302655,23.751998865597606,231.3445808864523,42.38243433554967
Amidar-v5,161.56388186990756,40.39979309659534,131.2307776620857,21.304608343625677,212.59639991923615,39.696171987145036
Assault-v5,142.19251122787205,35.036979768578966,114.27929670498241,18.977981836204854,190.62656506732657,37.2016980655105
Asterix-v5,145.36673704305701,36.2985889977879,113.12393053064318,19.020621177226392,192.858592443113,37.559585113966904
Asteroids-v5,148.871919732353,37.54995659350773,113.95132206257932,20.469231728053842,198.67652378245637,38.43682371051223
Atlantis-v5,158.68178667535065,53.67391033499014,137.85280897365067,20.46876434449117,213.92252579132716,39.10260779513253
BankHeist-v5,151.71607595671688,90.14333999831054,126.06064489549041,20.162714450006135,201.6255477810789,37.34265614717095
BattleZone-v5,168.07326160916574,40.894118357790845,138.2399226350594,22.247917231317942,218.72569344577965,37.418385279885044
BeamRider-v5,162.0839072581565,40.71476150918007,136.26276934783343,20.747737580656665,212.85576241109104,36.330653960439896
Berzerk-v5,150.7977013910493,35.98668225928388,123.93982748769288,21.18504016643236,198.80002307701992,35.83683103128716
Bowling-v5,145.8330534833611,35.6178213085791,114.42112950211576,19.012236238850488,191.44758996018658,34.34506863430694
Boxing-v5,190.4365786339289,42.78917201072232,170.41449929928848,28.16377429788269,238.42803476218825,41.29648938805969
Breakout-v5,162.98910544744504,40.599128045452964,136.97438498365912,21.09711026884552,215.36394512706332,36.5888192418328
Centipede-v5,155.55369060590505,38.04110439114525,124.85343990117397,22.256857586823976,209.316834017524,36.72059736278322
ChopperCommand-v5,167.2454804724171,41.784603167497195,142.03482203963136,22.47462846488355,219.37474347913707,37.40864209042655
CrazyClimber-v5,144.03068976423862,46.73886593196584,115.47294446956738,18.965628984721636,195.7044162140952,34.103991847877154
Defender-v5,144.1951796170403,39.831032201151054,118.51862596981206,18.768885429693423,193.48550800491265,33.914031318117075
DemonAttack-v5,143.6093618060483,35.458036049989744,119.87119013560124,19.62900665825249,195.61287612416126,34.01529870510101
DoubleDunk-v5,159.64937176329119,40.881747807339195,137.62260322208758,21.0924573063307,221.10684945574513,36.796062693551725
Enduro-v5,179.29912585973736,41.72196147677633,154.80635476104894,21.930914296017075,229.97081898963012,37.72408117956585
FishingDerby-v5,209.6265393976727,42.13398992966893,172.4439318563388,25.383513049053672,254.25071667613804,40.40947934777648
Freeway-v5,199.16664369687058,42.29479129925752,169.72550466069467,24.85151596900065,256.21195633640997,39.65709548464528
Frostbite-v5,168.40577990503542,46.73514558736848,142.3627008589109,23.788515866434473,221.3671443592619,37.76393324807838
Gopher-v5,146.80924264416458,51.80423694786926,116.84542812332468,19.181193922781876,195.57613577326137,34.641386579275135
Gravitar-v5,149.37218282232004,36.45434908469518,125.1802425032803,20.625505491253996,202.5971545616344,35.52344549633838
Hero-v5,186.1202524317975,43.20271479381945,164.68531735427018,24.88598505875324,243.2866758535968,39.572339199516506
IceHockey-v5,171.07242304507196,41.70463322885831,143.23438677677063,21.92808503750722,225.63872038099498,37.520841505704105
Jamesbond-v5,152.06275053458603,37.370191278175454,127.14132471890191,19.90127277071999,206.08235069213092,35.809645172136804
Kangaroo-v5,165.26772999657396,39.78561012794574,141.28035235743238,21.960824053124483,220.76550037794644,37.290360360763685
Krull-v5,176.54640096092467,66.79439237784771,148.53172837361313,22.808487165986303,234.8651088091179,38.536328946219555
KungFuMaster-v5,171.41629780663385,44.563692863340734,149.60937395223525,22.033348541341276,227.50362688227935,37.77026082789457
MontezumaRevenge-v5,164.73465702672607,41.223768686612445,137.69103674056524,23.235147869811094,219.25243955749053,37.940510400886886
MsPacman-v5,159.1626175654398,45.138981257450006,133.609846063421,21.052919028233255,211.42615528835188,36.53028710731754
NameThisGame-v5,163.08728218093546,41.20337734458181,134.9175549362324,23.304207126972003,213.23191745594696,37.79039098381997
Phoenix-v5,147.77773254811044,36.44838159135496,119.61583770036019,21.5656326845976,196.47217860213033,35.33484580918595
Pitfall-v5,169.50358125116966,41.97860721945762,143.51894642440004,22.011371162603382,224.99105450934834,36.54797808956217
Pong-v5,152.71303363270926,39.287251910594875,128.25495813629226,19.83357524466311,204.69346202007048,34.62266578590428
PrivateEye-v5,175.89401397440167,41.715449718104466,146.32401730776172,21.672524127695297,227.17573062985034,36.46957458465188
Qbert-v5,159.97752011660072,41.036085348473655,135.9623816317371,22.50969205573074,214.76238913244669,35.838843413149874
Riverraid-v5,169.8369695233599,41.966548103909204,145.01631610385374,23.944682225596868,231.77232761321244,37.097022099936446
RoadRunner-v5,171.2529737764368,42.627622754477024,148.76906219008302,24.474688010175008,228.93003600981498,37.16946743726731
Robotank-v5,184.12346360347698,41.56445961390601,161.61042481385064,25.798560358459113,237.55779538353283,38.36133264903669
Seaquest-v5,157.47467387806532,39.61847119839103,129.22026218416343,22.36254420326646,209.80810897588728,35.34110286747968
Skiing-v5,163.5215714180428,39.052527748732174,135.3231958466174,22.644649865471063,218.95652649367295,35.18652476544733
Solaris-v5,180.28217933886762,42.12732738852502,157.04579739264952,24.848835117205592,238.96711436408538,38.48861735533785
SpaceInvaders-v5,154.29483556178985,37.86617457247587,116.60036940664308,19.936000398000083,198.72798801263173,34.67999937627051
StarGunner-v5,140.09978290833908,35.615185947069016,114.70880318014709,19.195216075477436,192.7677848066224,33.355963976339055
Surround-v5,146.0316868994699,36.698688908562,116.23008205280547,19.776817284520195,198.19373425360078,34.04750864232028
Tennis-v5,168.4057837772069,41.050848959177586,147.82372679520876,22.48396112367978,222.46751890866844,36.13800529859684
TimePilot-v5,149.954171245177,36.870140562886775,124.2857006722366,20.48398929586438,198.28002185644925,34.522664731034524
Tutankham-v5,153.62541934724345,39.29557704108733,124.39459780130632,20.4587262681203,205.04689260328257,34.662327018181486
UpNDown-v5,213.98730514833804,43.714315247290415,192.22968645061863,28.08961131265021,272.1986878500603,40.62137391072732
Venture-v5,155.88439384886627,39.61780957988015,129.4046844984867,20.96165741152913,205.83439815936265,35.01046860968625
VideoPinball-v5,198.16859899848484,42.28821155732005,157.84398168387915,24.224732552912844,242.39699339924036,37.851185747296725
WizardOfWor-v5,153.9659895184967,37.87092152235012,127.87884608926257,20.753517879339366,204.70566917083883,34.51723322766798
YarsRevenge-v5,151.36975184113658,36.28413480658724,122.00640536800748,20.16500239950979,204.65818145893238,34.072977760456226
Zaxxon-v5,158.56544384915554,40.073539105680254,127.73043551220172,21.087029701760013,214.18027643097773,35.171070401933456
