,"Monobeast IMPALA, 1 A100, 80 CPU","Moolib IMPALA, 8 A100, 80 CPU","Cleanba IMPALA, 8 A100, 46 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU"
Alien-v5,5864.39 ± 1418.85,2510.09 ± 848.76,4957.92 ± 1861.01,2777.97 ± 400.77
Amidar-v5,457.56 ± 104.57,293.89 ± 154.93,577.11 ± 123.66,355.97 ± 95.31
Assault-v5,4246.68 ± 623.57,1014.66 ± 3.85,4652.42 ± 524.88,3751.48 ± 92.12
Asterix-v5,340764.67 ± 104965.93,72229.14 ± 40616.43,415085.79 ± 128839.18,54710.20 ± 12978.79
Asteroids-v5,12497.71 ± 1075.75,19746.94 ± 25106.69,7447.75 ± 663.09,5265.86 ± 111.83
Atlantis-v5,865767.67 ± 11846.45,1004694.69 ± 17804.67,860085.65 ± 12860.21,919879.19 ± 11134.33
BankHeist-v5,1156.73 ± 19.59,1130.09 ± 19.95,1175.46 ± 7.06,1155.14 ± 18.55
BattleZone-v5,30224.17 ± 2816.57,24047.24 ± 15261.70,25633.12 ± 2269.21,43808.75 ± 3977.81
BeamRider-v5,8586.43 ± 466.83,8677.10 ± 1145.70,8744.03 ± 703.63,7540.49 ± 377.93
Berzerk-v5,796.14 ± 225.83,849.61 ± 255.95,604.02 ± 76.73,1095.12 ± 335.67
Bowling-v5,41.77 ± 1.59,47.18 ± 12.53,40.25 ± 0.90,31.20 ± 1.19
Boxing-v5,99.22 ± 0.17,65.89 ± 41.53,99.29 ± 0.05,99.43 ± 0.13
Breakout-v5,481.02 ± 19.66,300.53 ± 80.50,480.98 ± 3.02,438.75 ± 6.40
Centipede-v5,4270.96 ± 108.77,1629.42 ± 970.35,4823.42 ± 165.35,3280.65 ± 190.81
ChopperCommand-v5,17206.61 ± 1408.44,5092.66 ± 760.64,16592.78 ± 775.79,13621.98 ± 1210.25
CrazyClimber-v5,119366.75 ± 5513.61,103809.52 ± 10539.34,118073.43 ± 2182.25,109208.65 ± 1285.82
Defender-v5,64181.00 ± 807.44,57167.54 ± 1904.26,66361.47 ± 459.11,60213.43 ± 612.05
DemonAttack-v5,128781.23 ± 2539.22,17260.47 ± 3575.22,130043.66 ± 1541.83,83640.45 ± 11566.14
DoubleDunk-v5,-2.17 ± 0.80,-2.71 ± 0.43,0.24 ± 0.12,4.43 ± 9.90
Enduro-v5,2342.73 ± 0.75,2231.42 ± 16.96,2331.67 ± 17.23,2129.09 ± 134.81
FishingDerby-v5,36.78 ± 5.88,4.04 ± 20.42,36.07 ± 3.84,35.31 ± 2.31
Freeway-v5,0.00 ± 0.00,21.91 ± 15.50,0.00 ± 0.00,32.27 ± 0.48
Frostbite-v5,300.93 ± 26.27,482.98 ± 324.43,299.74 ± 22.08,4790.37 ± 2339.45
Gopher-v5,19058.27 ± 2928.51,6812.35 ± 4218.83,26524.89 ± 4726.06,7804.75 ± 4865.60
Gravitar-v5,3018.75 ± 28.25,1072.20 ± 252.63,2424.49 ± 53.41,1880.52 ± 612.28
Hero-v5,30659.95 ± 3170.55,102.70 ± 42.51,34805.18 ± 743.28,29861.32 ± 3086.52
IceHockey-v5,7.86 ± 0.32,8.09 ± 0.37,3.65 ± 0.41,8.04 ± 0.83
Jamesbond-v5,622.00 ± 21.12,619.13 ± 56.98,571.61 ± 5.86,602.38 ± 44.96
Kangaroo-v5,3153.56 ± 85.23,5804.39 ± 3524.32,1720.90 ± 2.70,9168.77 ± 5223.70
Krull-v5,8121.82 ± 891.41,6837.29 ± 1415.48,7843.66 ± 265.69,8532.77 ± 9.72
KungFuMaster-v5,28340.06 ± 5933.09,41471.46 ± 4354.58,30053.73 ± 4350.55,31599.44 ± 1229.30
MontezumaRevenge-v5,0.00 ± 0.00,0.12 ± 0.02,0.04 ± 0.06,0.31 ± 0.10
MsPacman-v5,4268.59 ± 171.00,2962.87 ± 396.03,5211.03 ± 336.95,3812.68 ± 117.07
NameThisGame-v5,15976.48 ± 1949.17,11534.58 ± 103.80,16215.98 ± 1505.06,12714.65 ± 565.05
Phoenix-v5,52355.01 ± 3983.71,41120.57 ± 3452.26,39117.81 ± 3081.03,37434.69 ± 6158.25
Pitfall-v5,-4.40 ± 1.55,-51.11 ± 30.69,-2.31 ± 0.06,-4.16 ± 5.41
Pong-v5,19.03 ± 0.99,16.96 ± 1.54,19.13 ± 0.41,18.26 ± 0.57
PrivateEye-v5,100.00 ± 0.00,40.68 ± 17.44,119.91 ± 28.15,78.41 ± 27.05
Qbert-v5,17081.35 ± 1921.53,14824.45 ± 934.76,20182.24 ± 1415.62,17491.43 ± 1585.57
Riverraid-v5,19516.00 ± 3940.64,6394.78 ± 2671.12,19726.22 ± 4118.38,9625.52 ± 1314.51
RoadRunner-v5,89317.17 ± 44185.00,35879.97 ± 1964.98,57527.74 ± 7946.48,69799.92 ± 19725.09
Robotank-v5,41.38 ± 4.99,30.50 ± 1.56,39.35 ± 2.76,39.18 ± 1.98
Seaquest-v5,1765.07 ± 9.31,1079.86 ± 183.89,2028.38 ± 372.17,1884.85 ± 3.91
Skiing-v5,-16006.68 ± 9893.36,-29998.00 ± 0.00,-29998.00 ± 0.00,-18076.01 ± 8798.20
Solaris-v5,2176.20 ± 96.67,2107.14 ± 72.68,2382.64 ± 30.84,2060.76 ± 70.72
