,"Monobeast IMPALA, 1 A100, 80 CPU","Moolib IMPALA, 8 A100, 80 CPU","Cleanba IMPALA, 8 A100, 46 CPU","Cleanba PPO (Sync), 8 A100, 46 CPU"
Alien-v5,107.31840977364483,43.21044935706712,23.751998865597606,42.38243433554967
Amidar-v5,102.61722661049676,40.39979309659534,21.304608343625677,39.696171987145036
Assault-v5,98.06024616841233,35.036979768578966,18.977981836204854,37.2016980655105
Asterix-v5,90.92501017839959,36.2985889977879,19.020621177226392,37.559585113966904
Asteroids-v5,98.70733101225663,37.54995659350773,20.469231728053842,38.43682371051223
Atlantis-v5,97.81451341370696,53.67391033499014,20.46876434449117,39.10260779513253
BankHeist-v5,103.01846890538943,90.14333999831054,20.162714450006135,37.34265614717095
BattleZone-v5,105.32868221496379,40.894118357790845,22.247917231317942,37.418385279885044
BeamRider-v5,103.78551499689269,40.71476150918007,20.747737580656665,36.330653960439896
Berzerk-v5,102.04450063393269,35.98668225928388,21.18504016643236,35.83683103128716
Bowling-v5,100.6524076127125,35.6178213085791,19.012236238850488,34.34506863430694
Boxing-v5,108.8364956972051,42.78917201072232,28.16377429788269,41.29648938805969
Breakout-v5,102.17772843694425,40.599128045452964,21.09711026884552,36.5888192418328
Centipede-v5,103.20992630091149,38.04110439114525,22.256857586823976,36.72059736278322
ChopperCommand-v5,105.33505627505397,41.784603167497195,22.47462846488355,37.40864209042655
CrazyClimber-v5,101.49844351732992,46.73886593196584,18.965628984721636,34.103991847877154
Defender-v5,101.41883544211751,39.831032201151054,18.768885429693423,33.914031318117075
DemonAttack-v5,88.40781043904276,35.458036049989744,19.62900665825249,34.01529870510101
DoubleDunk-v5,95.36201987930423,40.881747807339195,21.0924573063307,36.796062693551725
Enduro-v5,106.9406107305936,41.72196147677633,21.930914296017075,37.72408117956585
FishingDerby-v5,110.21766180449134,42.13398992966893,25.383513049053672,40.40947934777648
Freeway-v5,114.6405383438516,42.29479129925752,24.85151596900065,39.65709548464528
Frostbite-v5,106.79116539162113,46.73514558736848,23.788515866434473,37.76393324807838
Gopher-v5,97.1415290578597,51.80423694786926,19.181193922781876,34.641386579275135
Gravitar-v5,102.34119449741215,36.45434908469518,20.625505491253996,35.52344549633838
Hero-v5,107.33978076253419,43.20271479381945,24.88598505875324,39.572339199516506
IceHockey-v5,105.16386679757814,41.70463322885831,21.92808503750722,37.520841505704105
Jamesbond-v5,101.22684272104297,37.370191278175454,19.90127277071999,35.809645172136804
Kangaroo-v5,104.85922617684332,39.78561012794574,21.960824053124483,37.290360360763685
Krull-v5,107.36689841961245,66.79439237784771,22.808487165986303,38.536328946219555
KungFuMaster-v5,105.61140220754777,44.563692863340734,22.033348541341276,37.77026082789457
MontezumaRevenge-v5,105.1310428141294,41.223768686612445,23.235147869811094,37.940510400886886
MsPacman-v5,105.14166577349053,45.138981257450006,21.052919028233255,36.53028710731754
NameThisGame-v5,104.30696016296967,41.20337734458181,23.304207126972003,37.79039098381997
Phoenix-v5,96.63883103650744,36.44838159135496,21.5656326845976,35.33484580918595
Pitfall-v5,103.92204065901409,41.97860721945762,22.011371162603382,36.54797808956217
Pong-v5,101.44501495988031,39.287251910594875,19.83357524466311,34.62266578590428
PrivateEye-v5,107.71621484193399,41.715449718104466,21.672524127695297,36.46957458465188
Qbert-v5,103.4986791478979,41.036085348473655,22.50969205573074,35.838843413149874
Riverraid-v5,102.99491525423727,41.966548103909204,23.944682225596868,37.097022099936446
RoadRunner-v5,104.06755423031318,42.627622754477024,24.474688010175008,37.16946743726731
Robotank-v5,106.30578013046733,41.56445961390601,25.798560358459113,38.36133264903669
Seaquest-v5,102.30423592884223,39.61847119839103,22.36254420326646,35.34110286747968
Skiing-v5,103.5848546357176,39.052527748732174,22.644649865471063,35.18652476544733
Solaris-v5,108.58256660337189,42.12732738852502,24.848835117205592,38.48861735533785
SpaceInvaders-v5,90.48925780568638,37.86617457247587,19.936000398000083,34.67999937627051
StarGunner-v5,96.82041511000415,35.615185947069016,19.195216075477436,33.355963976339055
Surround-v5,101.3487816948867,36.698688908562,19.776817284520195,34.04750864232028
Tennis-v5,105.55500652856246,41.050848959177586,22.48396112367978,36.13800529859684
TimePilot-v5,101.73975414493587,36.870140562886775,20.48398929586438,34.522664731034524
Tutankham-v5,99.36213577150171,39.29557704108733,20.4587262681203,34.662327018181486
UpNDown-v5,106.152384524459,43.714315247290415,28.08961131265021,40.62137391072732
Venture-v5,101.15024636811579,39.61780957988015,20.96165741152913,35.01046860968625
VideoPinball-v5,98.22810182673177,42.28821155732005,24.224732552912844,37.851185747296725
WizardOfWor-v5,102.83894077824333,37.87092152235012,20.753517879339366,34.51723322766798
YarsRevenge-v5,100.28068443421286,36.28413480658724,20.16500239950979,34.072977760456226
Zaxxon-v5,100.5189480874317,40.073539105680254,21.087029701760013,35.171070401933456
