,"Cleanba PPO (sync), 8 A100, 46 CPU","Cleanba PPO, 8 A100, 46 CPU"
Alien-v5,2477.67 ± 310.24,2014.91 ± 363.14
Amidar-v5,554.55 ± 216.79,500.02 ± 197.48
Assault-v5,2977.64 ± 70.69,3597.16 ± 136.97
Asterix-v5,32526.42 ± 6598.65,93549.26 ± 31273.53
Asteroids-v5,4782.36 ± 590.91,4519.91 ± 272.25
Atlantis-v5,886044.44 ± 14923.89,904820.47 ± 34718.99
BankHeist-v5,1155.93 ± 18.10,1133.07 ± 0.69
BattleZone-v5,38074.58 ± 692.48,38220.73 ± 323.17
BeamRider-v5,7184.03 ± 153.26,8544.53 ± 377.20
Berzerk-v5,805.46 ± 162.84,771.63 ± 106.94
Bowling-v5,39.16 ± 2.99,46.39 ± 11.68
Boxing-v5,99.44 ± 0.11,99.33 ± 0.13
Breakout-v5,434.93 ± 9.87,411.29 ± 9.92
Centipede-v5,3055.81 ± 283.34,1828.55 ± 148.59
ChopperCommand-v5,13749.35 ± 714.62,9760.73 ± 2167.45
CrazyClimber-v5,109049.52 ± 870.64,107601.25 ± 1570.39
Defender-v5,58937.51 ± 869.59,55504.50 ± 5633.09
DemonAttack-v5,77627.16 ± 7528.70,69988.24 ± 9274.70
DoubleDunk-v5,7.07 ± 11.01,0.26 ± 0.57
Enduro-v5,2094.68 ± 153.96,1595.34 ± 200.75
FishingDerby-v5,34.98 ± 0.89,27.74 ± 1.47
Freeway-v5,32.74 ± 0.08,32.78 ± 0.17
Frostbite-v5,3004.20 ± 3772.11,297.51 ± 23.70
Gopher-v5,5193.67 ± 2909.42,3917.97 ± 427.99
Gravitar-v5,2425.99 ± 284.11,1561.59 ± 379.63
Hero-v5,24448.55 ± 7985.08,17962.97 ± 2521.26
IceHockey-v5,8.62 ± 0.80,8.52 ± 1.07
Jamesbond-v5,687.14 ± 74.56,642.80 ± 146.81
Kangaroo-v5,13041.58 ± 519.96,2449.18 ± 945.74
Krull-v5,8583.00 ± 135.22,8037.42 ± 102.72
KungFuMaster-v5,27936.90 ± 2384.13,23887.20 ± 4815.35
MontezumaRevenge-v5,90.54 ± 127.43,0.04 ± 0.03
MsPacman-v5,3498.41 ± 402.62,2274.62 ± 631.03
NameThisGame-v5,11022.75 ± 584.25,8986.66 ± 1083.86
Phoenix-v5,38397.77 ± 1969.20,28286.64 ± 3542.27
Pitfall-v5,-8.08 ± 10.35,-0.30 ± 0.08
Pong-v5,18.23 ± 0.60,18.72 ± 0.57
PrivateEye-v5,75.20 ± 32.12,66.23 ± 47.45
Qbert-v5,17582.20 ± 723.39,14776.55 ± 272.82
Riverraid-v5,5792.85 ± 1580.39,12349.38 ± 3692.31
RoadRunner-v5,90402.98 ± 48364.48,49055.45 ± 3771.37
Robotank-v5,37.92 ± 4.98,40.34 ± 1.52
Seaquest-v5,1885.44 ± 1.04,1249.87 ± 426.37
Skiing-v5,-17569.19 ± 8994.43,-16006.67 ± 9893.36
Solaris-v5,2012.39 ± 86.46,2043.70 ± 23.65
SpaceInvaders-v5,9234.19 ± 4708.60,6338.88 ± 1728.71
StarGunner-v5,69931.48 ± 1949.00,70366.89 ± 1921.32
Surround-v5,5.73 ± 0.60,5.10 ± 1.12
Tennis-v5,14.26 ± 12.08,-0.80 ± 0.25
TimePilot-v5,26505.31 ± 1345.66,25840.42 ± 559.29
Tutankham-v5,252.55 ± 18.92,252.00 ± 17.81
UpNDown-v5,290386.78 ± 25095.53,289330.74 ± 7329.41
Venture-v5,392.50 ± 555.08,0.00 ± 0.00
VideoPinball-v5,459899.45 ± 25019.23,395259.07 ± 16738.04
WizardOfWor-v5,8679.69 ± 200.30,7056.36 ± 570.48
YarsRevenge-v5,78424.50 ± 6319.78,60922.46 ± 3482.41
Zaxxon-v5,23266.56 ± 5520.60,20106.70 ± 3124.57
