,"Cleanba PPO (sync), 8 A100, 46 CPU","Cleanba PPO, 8 A100, 46 CPU"
Alien-v5,36.979463903197534,29.009413084409854
Amidar-v5,34.14146280500624,28.17472658899095
Assault-v5,31.768455360642186,28.069630908480395
Asterix-v5,32.18200229472584,28.095440394171963
Asteroids-v5,32.99824973048987,28.127020457188287
Atlantis-v5,33.46884745085681,28.11083515158406
BankHeist-v5,32.81372402464902,28.69105368927673
BattleZone-v5,34.84803628842035,30.21470264461305
BeamRider-v5,33.648965340676135,29.852727763432043
Berzerk-v5,33.564038448245434,29.991068550039223
Bowling-v5,31.859660975668167,29.783694729937448
Boxing-v5,39.27037466468634,31.70663265934697
Breakout-v5,33.9569558207194,29.29784057723151
Centipede-v5,34.61512398181138,29.40061381101608
ChopperCommand-v5,35.224783019048196,29.303555669387183
CrazyClimber-v5,32.074956218578194,28.67242498437564
Defender-v5,31.800852151800086,28.709610681622117
DemonAttack-v5,31.840634941524925,28.610673879384994
DoubleDunk-v5,34.20331552761572,28.54935026389581
Enduro-v5,34.7797103924663,29.05166121447528
FishingDerby-v5,38.03441877082542,30.033595425376184
Freeway-v5,36.85482784787814,28.89770082509076
Frostbite-v5,35.469747050161715,28.767251268404504
Gopher-v5,32.18820982372319,28.207346954080794
Gravitar-v5,33.204934907047836,28.32386550165989
Hero-v5,37.287604441201246,29.208239148457846
IceHockey-v5,34.781849889225434,28.271445030283044
Jamesbond-v5,32.60319180784402,28.534294366483334
Kangaroo-v5,34.252216801819976,29.296464060235905
Krull-v5,35.577823002338405,28.393384473941943
KungFuMaster-v5,34.841660233515285,28.293222065854952
MontezumaRevenge-v5,35.15746927817663,28.39575531986025
MsPacman-v5,33.99078878817735,28.266249847058898
NameThisGame-v5,36.10057931167109,28.896072571719134
Phoenix-v5,33.614806177836876,28.157183562208107
Pitfall-v5,35.10153049424843,28.47754801083494
Pong-v5,32.673386184639405,29.21682933383518
PrivateEye-v5,34.4903466837053,28.255854778510557
Qbert-v5,34.141038616719065,29.389354919460082
Riverraid-v5,35.50293060426359,29.47982597262771
RoadRunner-v5,35.07731381226469,29.940993252418657
Robotank-v5,36.25590600358115,29.731568415871376
Seaquest-v5,33.293786890285986,28.229525347948073
Skiing-v5,33.45292640006101,27.407098920742673
Solaris-v5,36.55935370736652,28.060297080013488
SpaceInvaders-v5,32.75682253983286,27.785260674644398
StarGunner-v5,31.476366581254535,27.729005853335064
Surround-v5,31.95935924993621,27.755344047325632
Tennis-v5,34.66505861158724,27.764918539038412
TimePilot-v5,32.623178231892766,27.75538366869644
Tutankham-v5,32.90400892107575,27.75045066029937
UpNDown-v5,38.829989926064464,29.28632191993572
Venture-v5,33.28522719952795,27.77327779447591
VideoPinball-v5,36.12456874335253,28.083182057716225
WizardOfWor-v5,32.96217058345124,27.76989685950456
YarsRevenge-v5,32.49353642415117,27.777532713324938
Zaxxon-v5,33.43360806928741,27.79186534784458
